year,state_abbreviation,stage,special,candidate_name,party_detailed,party_simplified,writein,total_votes,votes,percent_votes,won
1978,ME,gen,0,WILLIAM S. COHEN,REPUBLICAN,REPUBLICAN,0,375114,212294,56.59452859663996,1
1978,MA,gen,0,EDWARD W. BROOKE,REPUBLICAN,REPUBLICAN,0,1985700,890584,44.849876617817394,0
1978,MA,gen,0,PAUL E. TSONGAS,DEMOCRAT,DEMOCRAT,0,1985700,1093283,55.05781336556378,1
1978,MI,gen,0,CARL LEVIN,DEMOCRAT,DEMOCRAT,0,2846630,1484193,52.13859897492825,1
1978,MI,gen,0,ROBERT P. GRIFFIN,REPUBLICAN,REPUBLICAN,0,2846630,1362165,47.85184586686714,0
1978,MN,gen,0,BRIAN JOHN COYLE,PUBLIC INTEREST INDEPENDENT,OTHER,0,1580622,8083,0.5113809626843104,0
1978,MN,gen,0,JEAN T. BRUST,WORKERS,OTHER,0,1580622,3891,0.2461689132506064,0
1978,MN,gen,0,LEONARD RICHARDS,LIBERTARIAN,LIBERTARIAN,0,1580622,2992,0.18929256963397956,0
1978,MN,gen,0,RUDOLPH E. BOSCHWITZ,REPUBLICAN,REPUBLICAN,0,1580622,894092,56.565832944246,0
1978,MN,gen,0,SAL CARLONE,AMERICAN,OTHER,0,1580622,23261,1.4716358496844912,0
1978,MN,gen,0,WENDELL ANDERSON,DEMOCRAT,DEMOCRAT,0,1580622,638375,40.38758159762423,0
1978,MN,gen,0,WILLIAM PETERSON,SOCIALIST WORKERS,OTHER,0,1580622,9856,0.6235519940884031,0
1978,MN,gen,1,BOB SHORT,DEMOCRAT,DEMOCRAT,0,1558376,538675,34.566433261292524,0
1978,MN,gen,1,CHRISTINE FRANK,SOCIALIST,OTHER,0,1558376,11397,0.7313382649630128,0
1978,MN,gen,1,DAVID DURENBERGER,REPUBLICAN,REPUBLICAN,0,1558376,957908,61.46834910188556,1
1978,MN,gen,1,FREDERICK HEWITT,LIBERTARIAN,LIBERTARIAN,0,1558376,4116,0.2641211106947232,0
1978,MN,gen,1,PAUL HELM,AMERICAN,OTHER,0,1558376,45402,2.9134175577652632,0
1978,MS,gen,0,HENRY JAY KIRKSEY,INDEPENDENT,OTHER,0,590236,1747,0.2959833015946164,0
1978,MS,gen,0,JAMES CHARLES EVERS,INDEPENDENT,OTHER,0,590236,133646,22.642807283866116,0
1978,MS,gen,0,MAURICE DANTIN,DEMOCRAT,DEMOCRAT,0,590236,187541,31.773900609247825,0
1978,MS,gen,0,THAD COCHRAN,REPUBLICAN,REPUBLICAN,0,590236,267302,45.287308805291445,1
1978,MT,gen,0,LARRY WILLIAMS,REPUBLICAN,REPUBLICAN,0,287942,127589,44.31065978565128,0
1978,MT,gen,0,MAX BAUCUS,DEMOCRAT,DEMOCRAT,0,287942,160353,55.689340214348725,1
1978,NE,gen,0,DONALD EUGENE SHASTEN,REPUBLICAN,REPUBLICAN,0,493802,159706,32.34211283064872,0
1978,NE,gen,0,JAMES J. EXON,DEMOCRAT,DEMOCRAT,0,493802,334096,67.65788716935128,1
1978,NH,gen,0,CRAIG FRANKLIN,LIBERTARIAN,LIBERTARIAN,0,263760,2070,0.7848043676069154,0
1978,NH,gen,0,GORDON J. HUMPHREY,REPUBLICAN,REPUBLICAN,0,263760,133745,50.707082195935705,1
1978,NH,gen,0,THOMAS J. MCINTYRE,DEMOCRAT,DEMOCRAT,0,263760,127945,48.508113436457386,0
1978,NJ,gen,0,ALICE CONNER,INDEPENDENT,OTHER,0,1957515,2384,0.12178706165725421,0
1978,NJ,gen,0,BILL BRADLEY,DEMOCRAT,DEMOCRAT,0,1957515,1082960,55.32320314276008,1
1978,NJ,gen,0,BILL GAHRES,INDEPENDENT,OTHER,0,1957515,3817,0.19499212011146785,0
1978,NJ,gen,0,HERBERT HARRY SHAW,INDEPENDENT,OTHER,0,1957515,4736,0.24193939765467953,0
1978,NJ,gen,0,J. M. CARTER JR.,INDEPENDENT,OTHER,0,1957515,3618,0.18482616991440678,0
1978,NJ,gen,0,JACK MOYERS,INDEPENDENT,OTHER,0,1957515,3809,0.19458343869651062,0
1978,NJ,gen,0,JASPER C. GOULD,INDEPENDENT,OTHER,0,1957515,2955,0.15095669764982644,0
1978,NJ,gen,0,JEFFREY BELL,REPUBLICAN,REPUBLICAN,0,1957515,844200,43.12610631336158,0
1978,NJ,gen,0,PAUL FERGUSON,INDEPENDENT,OTHER,0,1957515,2604,0.13302580056857802,0
1978,NJ,gen,0,ROBERT BROWN,LABOR,OTHER,0,1957515,3656,0.1867674066354536,0
1978,NJ,gen,0,WILLIAM R. THORN,INDEPENDENT,OTHER,0,1957515,2776,0.14181245099015846,0
1978,NM,gen,0,PETE V. DOMENICI,REPUBLICAN,REPUBLICAN,0,343487,183442,53.405805751018235,1
1978,NM,gen,0,TONEY ANAYA,DEMOCRAT,DEMOCRAT,0,343487,160045,46.594194248981765,0
1978,NC,gen,0,JESSE HELMS,REPUBLICAN,REPUBLICAN,0,1135814,619151,54.51165419690196,1
1978,NC,gen,0,JOHN RANDOLPH INGRAM,DEMOCRAT,DEMOCRAT,0,1135814,516663,45.48834580309804,0
1978,OK,gen,0,DAVID LYLE BOREN,DEMOCRAT,DEMOCRAT,0,754264,493953,65.4880784446825,1
1978,OK,gen,0,GLENN E. HAGER,INDEPENDENT,OTHER,0,754264,3875,0.5137458502593256,0
1978,OK,gen,0,PAUL EDWARD TRENT,INDEPENDENT,OTHER,0,754264,3015,0.39972741639532045,0
1978,OK,gen,0,RICHARD KING CARTER,INDEPENDENT,OTHER,0,754264,2209,0.2928682795413807,0
1978,OK,gen,0,RILEY DONICA,INDEPENDENT,OTHER,0,754264,3355,0.44480447164388065,0
1978,OK,gen,0,ROBERT B. KAMM,REPUBLICAN,REPUBLICAN,0,754264,247857,32.86077553747759,0
1978,OR,gen,0,MARK HATFIELD,REPUBLICAN,REPUBLICAN,0,892518,550165,61.64189405703863,1
1978,OR,gen,0,VERN COOK,DEMOCRAT,DEMOCRAT,0,892518,341616,38.275530577534575,0
1978,RI,gen,0,CLAIBORNE PELL,DEMOCRAT,DEMOCRAT,0,305618,229557,75.11239521232388,1
1978,RI,gen,0,JAMES G. REYONLDS,REPUBLICAN,REPUBLICAN,0,305618,76061,24.887604787676118,0
1978,SC,gen,0,CHARLES D. RAVENEL,DEMOCRAT,DEMOCRAT,0,632063,280146,44.32248051222742,0
1978,SC,gen,0,STROM THURMOND,REPUBLICAN,REPUBLICAN,0,632063,351917,55.67751948777258,1
1978,SD,gen,0,DON BARNETT,DEMOCRAT,DEMOCRAT,0,255599,84767,33.16405776235432,0
1978,SD,gen,0,LARRY PRESSLER,REPUBLICAN,REPUBLICAN,0,255599,170832,66.83594223764568,1
1978,TN,gen,0,FERN LUCIUS KEASLER,INDEPENDENT,OTHER,0,1157094,2243,0.19384769085311998,0
1978,TN,gen,0,HOWARD H. BAKER,REPUBLICAN,REPUBLICAN,0,1157094,642644,55.53948080276969,1
1978,TN,gen,0,JANE ESKIND,DEMOCRAT,DEMOCRAT,0,1157094,466228,40.293009902393415,0
1978,TN,gen,0,THOMAS J. ANDERSON,INDEPENDENT,OTHER,0,1157094,45908,3.9675255424364835,0
1978,TX,gen,0,JOHN G. TOWER,REPUBLICAN,REPUBLICAN,0,2312540,1151376,49.788371228173354,1
1978,TX,gen,0,LUIS A. DIAZ DE LOEN,LA RAZA UNIDA,OTHER,0,2312540,17869,0.7727001478893338,0
1978,TX,gen,0,MIGUEL PENDAS,SOCIALIST WORKERS,OTHER,0,2312540,4018,0.17374834597455613,0
1978,TX,gen,0,ROBERT KRUEGER,DEMOCRAT,DEMOCRAT,0,2312540,1139149,49.259645238568844,0
1978,VA,gen,0,ANDREW P. MILLER,DEMOCRAT,DEMOCRAT,0,1222256,608511,49.785887735466225,0
1978,VA,gen,0,JOHN WILLIAM WARNER,REPUBLICAN,REPUBLICAN,0,1222256,613232,50.17214069720255,1
1978,WV,gen,0,ARCH A. MOORE JR.,REPUBLICAN,REPUBLICAN,0,493351,244317,49.52194279529179,0
1978,WV,gen,0,JENNINGS RANDOLPH,DEMOCRAT,DEMOCRAT,0,493351,249034,50.47805720470821,1
1978,WY,gen,0,ALAN KOOI SIMPSON,REPUBLICAN,REPUBLICAN,0,133364,50456,37.833298341381486,0
1978,WY,gen,0,RAYMOND B. WHITAKER,DEMOCRAT,DEMOCRAT,0,133364,82908,62.166701658618514,1
1980,AL,gen,0,JEREMIAH DENTON,REPUBLICAN,REPUBLICAN,0,1296757,650362,50.15295849569349,1
1980,AL,gen,0,JIM FOLSOM JR.,DEMOCRAT,DEMOCRAT,0,1296757,610175,47.05391989401252,0
1980,AL,gen,0,JIM PARTAIN,STATESMAN,OTHER,0,1296757,2649,0.20427882787600143,0
1980,AL,gen,0,MICHAEL R.A. ERDEY,CONSERVATIVE,OTHER,0,1296757,15989,1.2329989350356312,0
1980,AL,gen,0,MOHAMMED OLIVER,SOCIALIST WORKERS,OTHER,0,1296757,1511,0.11652144542115446,0
1980,AL,gen,0,SALLIE M. HADNOTT,NATIONAL DEMOCRATIC PARTY OF ALABAMA,OTHER,0,1296757,2973,0.22926423377702992,0
1980,AL,gen,0,WILLIAM A. CREW,LIBERTARIAN,LIBERTARIAN,0,1296757,13098,1.0100581681841703,0
1980,AK,gen,0,CLARK S. GRUENING,DEMOCRAT,DEMOCRAT,0,156762,72007,45.933963588114466,0
1980,AK,gen,0,FRANK H. MURKOWSKI,REPUBLICAN,REPUBLICAN,0,156762,84159,53.685842232173606,1
1980,AZ,gen,0,BARRY GOLDWATER,REPUBLICAN,REPUBLICAN,0,874238,432371,49.45689846472013,1
1980,AZ,gen,0,BILL SCHULZ,DEMOCRAT,DEMOCRAT,0,874238,422972,48.38179077093423,0
1980,AZ,gen,0,FRED R. ESSER,LIBERTARIAN,LIBERTARIAN,0,874238,12008,1.3735390134036727,0
1980,AZ,gen,0,JOSEFINA OTERO,SOCIALIST WORKERS,OTHER,0,874238,3266,0.37358247982814746,0
1980,AZ,gen,0,LORENZO TORREZ,PEOPLE BEFORE PROFITS,OTHER,0,874238,3608,0.41270226185546727,0
1980,AR,gen,0,BILL CLARK,REPUBLICAN,REPUBLICAN,0,808812,330576,40.87179715434489,0
1980,AR,gen,0,DALE BUMPERS,DEMOCRAT,DEMOCRAT,0,808812,477905,59.087278625935326,1
1980,CA,gen,0,ALAN CRANSTON,DEMOCRAT,DEMOCRAT,0,8324012,4704098,56.51238849727751,1
1980,CA,gen,0,DAVID BERGLAND,LIBERTARIAN,LIBERTARIAN,0,8324012,202410,2.431639935165879,0
1980,CA,gen,0,DAVID WALD,PEACE AND FREEDOM,OTHER,0,8324012,196260,2.3577572929976554,0
1980,CA,gen,0,JAMES C. (JIM) GRIFFIN,AMERICAN INDEPENDENT,OTHER,0,8324012,129573,1.5566171697013411,0
1980,CA,gen,0,PAUL GANN,REPUBLICAN,REPUBLICAN,0,8324012,3091671,37.14159710485761,0
1980,CO,gen,0,EARL HIGGERSON,STATESMAN,OTHER,0,1173142,7265,0.6192771207577599,0
1980,CO,gen,0,GARY HART,DEMOCRAT,DEMOCRAT,0,1173142,590501,50.33499780930186,1
1980,CO,gen,0,HENRY JOHN OLSHAW,UNAFFILIATED-AMERICAN,OTHER,0,1173142,4081,0.3478692264022599,0
1980,CO,gen,0,MARY ESTILL BUCHANAN,REPUBLICAN,REPUBLICAN,0,1173142,571295,48.69785584353812,0
1980,CT,gen,0,CHRISTOPHER J. DODD,DEMOCRAT,DEMOCRAT,0,1356075,763969,56.33678078277381,1
1980,CT,gen,0,GERARD G. BRENNAN,LIBERTARIAN,LIBERTARIAN,0,1356075,5336,0.3934885607359475,0
